segment,customers,customer_share,net_revenue,revenue_share,orders,aov,average_frequency,average_recency,net_margin
Established / Mid-value,4811,0.2957,1443977.65,0.321368,11174,129.226566,2.3226,531.9457,0.304853
High-value at Risk,1827,0.1123,877319.26,0.195254,4014,218.564838,2.1970,1288.0192,0.307272
New / Promising,3584,0.2203,776040.46,0.172714,5726,135.529246,1.5977,237.5232,0.305049
Champions,1098,0.0675,701927.09,0.156219,4973,141.147615,4.5291,205.1758,0.305497
Dormant,4471,0.2748,465813.58,0.103670,5638,82.620358,1.2610,1425.5200,0.299948
Loyal,477,0.0293,228139.43,0.050774,2055,111.016754,4.3082,526.5891,0.307898
